Titulo,Anio,Tipo,Genero,Rating,Puntuacion,Pais_Origen,Idioma,Elenco,Director,Creador,Escritor,Duracion(min)
Vampire Journals,1997.0,video movie,Fantasy,5.5,1550.0,"Romania, United States",English,"Jonathon Morris, David Gunn, Kirsten Cerre, Starr Andreeff, Ilinca Goia, Constantin Barbulescu, Mihai Dinvale, Dan Condurache, Mihai Niculescu, Petre Moraru, Rodica Lupu, Floriela Grappini, Diana Lupan, Maria Dimitrache-Caraman, Elvira Deatcu, Liliana Popovici, Alice Balaianu, Crina Matei, Cristina Oancea, Lucia Burcovischi, Oana Florea, Cosmin Sofron, Alexandru Itcus, Florin Irimia, Constantin Draganescu, Florinel Piersic, Cristian Motiu, Bogdan Voda, Liviu Craciun, Mihaela Mihai, Antonella Zaharia, Freddy Onofrei, Gabi Andronache, Tatiana Sorbala, Mihaela Bilisica, Anca Marcu, Luminita Pusca, Michael Denish, Gelu Nitu",Ted Nicolaou,Richard Kosinski,Ted Nicolaou,82.0
Maya Lin: A Strong Clear Vision,1994.0,movie,Documentary,7.4,481.0,United States,English,Maya Lin,Freida Lee Mock,Charles Bernstein,Freida Lee Mock,105.0
"At Home Among Strangers, a Stranger Among His Own",1974.0,movie,Action,7.5,2968.0,Soviet Union,Russian,"Yuriy Bogatyryov, Anatoliy Solonitsyn, Sergey Shakurov, Aleksandr Porokhovshchikov, Nikolai Pastukhov, Aleksandr Kaydanovskiy, Nikita Mikhalkov, Nikolay Zasukhin, Aleksandr Kalyagin, Konstantin Raykin, Aleksandr Adabashyan, Anatoli Borisov, Alina Budnikova, Mikhail Chigaryov, G. Doveyko, Sergey Frolov, Boris Galkin, A. Geller, Aleksandr Gradskiy, Vladimir Grudnev, V. Izaidayev, Mikhail Kislov, Vitaliy Komissarov, Ye. Kozhokhin, Gennadi Krasheninnikov, Nataliya Kugel, Yuriy Kuznetsov, Igor Kvasha, Pavel Lebeshev, Galina Mikeladze, Tatyana Mikhalkova, Ye. Mokhova, V. Monashin, V. Nikiforovsky, K. Orlov, Oleg Panov, Kh. Rasayev, O. Savchenko, Yekaterina Shadrina, M. Tamayev, V. Tatarashvili, Vladimir Tochilin, Vadim Vilskiy, Aleksandr Yakovlev, G. Zverev, Viktor Shcherbakov",Nikita Mikhalkov,Eduard Artemyev,"Nikita Mikhalkov, Eduard Volodarskiy",97.0
Antarctica: Ice and Sky,2015.0,movie,Documentary,6.9,549.0,France,"French, English","Claude Lorius, Michel Papineschi, Jacques-Yves Cousteau",Luc Jacquet,Cyrille Aufort,Luc Jacquet,89.0
Iron Monkey 2,1996.0,movie,Action,4.7,726.0,"Hong Kong, Taiwan, China","Mandarin, Cantonese","Donnie Yen, Billy Chow, Wu Ma, Steve Benson, Richard Cansino, Jian-li Chang, Cam Clarke, Lara Cody, Peter Doyle, Ron Edwars, Keith Ferguson, Graeme Ford, Jessica Gee-George, Grant George, Huansong Han, Zhourong He, Bridget Hoffman, Bob Joles, Tom Konkle, Jim Lau, Hai-Hsing Li, Ying Li, Will Liu, Liana Maeby, Dean Scofield, Michael Sorich, Steve Staley, Fred Tatasciore, Wenqing Yuan, Rik Thomas, Pierre Tremblay","Lu Chiang Chao, Lan Jing","Fu-Yung Chou, Chien-Yuan Huang","Man Choi Lee, Daoyuan Qian",92.0
Inside the Space Station,2000.0,tv movie,Documentary,6.6,76.0,United States,English,Liam Neeson,Pierre de Lespinois,Michael Whalen,Stephen Jay Schwartz,97.0
No Reservations,2007.0,movie,Comedy,6.3,72774.0,United States,English,"Catherine Zeta-Jones, Aaron Eckhart, Abigail Breslin, Patricia Clarkson, Jenny Wade, Bob Balaban, ""Brían F. OByrne"", Lily Rabe, Eric Silver, Arija Bareikis, John McMartin, Celia Weston, Zoë Kravitz, Matthew Rauch, Dearbhla Molloy, Stephanie Berry, Matt Servitto, Yevgeniy Dekhtyar, Fulvio Cecere, Ako, Frank Santorelli, Arden Lewis, A.J. McCloud, Mario Morales, Monica Trombetta, Sam Kitchin, Rob Leo Roy, Brian Luna, David Wheir, Joey Cee, Roxanna Hope Radja, Katherine Sigismund, James Starace, Jeanne Omlor, Noah Petroski, Nicholas Petroski, Lorca Simons, Patrick Zeller, Gretchen Wiese, Ramon Fernandez, Angel Rosa, Ignacio Heredero, Albert Martinez, Hani Shihada, Akira Takayama, August Costa, Jeremy DeRosa, Philip Glass, Rebecca Hyland, Chris Kerson, Henry Kwan, Tristan Laurence Perez",Scott Hicks,Philip Glass,"Carol Fuchs, Sandra Nettelbeck",104.0
Bruce Lee: A Warrior's Journey,2000.0,video movie,Documentary,8.0,3007.0,"United States, United Kingdom, Hong Kong","English, Cantonese","Bruce Lee, Kareem Abdul-Jabbar, Peter Archer, Sun-Man Bae, Robert Baker, Pierre Berton, Linda Lee Cadwell, Jackie Chan, Yuan Chieh, James Coburn, Doug Copsey, James Franciscus, James Garner, Ted Hanulak, Sammo Kam-Bo Hung, Hee-Soo Hwang, Dan Inosanto, Han Jae Ji, Bill Katz, Byung-Joo Kim, Hak-Kyu Kim, Taky Kimura, George Lazenby, Kang-Kook Lee, Joe Lewis, John Little, Bey Logan, Mako, Angela Mao, Nora Miao, Andre Morgan, Chuck Norris, ""Carroll OConnor"", Se-kyn Oh, Tong-il Pang, Sung-Woo Park, Peter Mark Richman, John Saxon, Mike Stone, James Tien, Robert Wall, Ing-Sik Whang, Van Williams, Biao Yuen, Ho-You Yun, Jiddu Krishnamurti","John Little, Bruce Lee",Wayne Hawkins,"Bruce Lee, John Little, Bey Logan",100.0
Bear Cub,2004.0,movie,Comedy,7.1,3586.0,Spain,"Spanish, French","José Luis García Pérez, David Castillo, Empar Ferrer, Elvira Lindo, Arno Chevrier, Mario Arias, Josele Román, Diana Cerezo, Daniel Llobregat, Juanma Lara, Jorge Calvo, Josep Tomàs, Juanjo Martínez, Ramón Ramos, Patxi Uribarren, Isidro Olmo, Fernando Albizu, Javier Martínez, Pep Morell, Alfonso Torregrosa, Fernando Tejero, Roberto Hernández, Félix Álvarez, Cali Caballero, Jorge Alcázar, Montse Alcoverro, César Capilla, Melanie Beleña, Ana Albaladejo, Felipe Albaladejo, Paco Luna, Daniel Heras, Herminia Mendoza, Manuel Crespo, Lucía de la Fuente, Adrián Deacal, Elena Jimenez, Juan Ramón Deacal, Umesh",Miguel Albaladejo,Lucio Godoy,"Miguel Albaladejo, Salvador García Ruiz",100.0
Briar Patch,2002.0,movie,Drama,5.5,1397.0,United States,English,"Dominique Swain, Henry Thomas, Arie Verveen, James Urbaniak, Karen Allen, Debra Monk, Blake Lindsley, Suzanne Castle, Starla Lee, Judy Simpson, Len Hathaway, Stuart Hough, Joan Thomas, Sam Froelich, Donald Lee Hall Jr.",Zev Berman,Nathan Barr,Deborah Pryor,103.0
Cube²: Hypercube,2002.0,movie,Drama,5.6,65498.0,Canada,English,"Kari Matchett, Geraint Wyn Davies, Grace Lynn Kung, Matthew Ferguson, Neil Crone, Barbara Gordon, Lindsey Connell, Greer Kent, Bruce Gray, Philip Akin, Paul Robbins, Andrew Scorer",Andrzej Sekula,Norman Orenstein,"Sean Hood, Sean Hood, Ernie Barbarash",94.0
Coldblooded,1995.0,movie,Action,6.7,3692.0,United States,English,"Jason Priestley, Kimberly Williams-Paisley, Peter Riegert, Robert Loggia, Jay Kogen, Janeane Garofalo, Josh Charles, David Anthony Higgins, Doris Grau, Anne Carroll, Buck McDancer, Marcos A. Ferraez, Gilbert Rosales, Jim Turner, Michael J. Fox, Talia Balsam, Marc Wolodarsky, ""Kay OConnell"", Cecile Krevoy, Elliott Gould",Wallace Wolodarsky,Steve Bartek,Wallace Wolodarsky,92.0
Mr. Vampire,1985.0,movie,Action,7.4,3772.0,Hong Kong,Cantonese,"Ching-Ying Lam, Siu-Ho Chin, Ricky Hui, Moon Lee, Billy Lau, Siu-Fung Wong, Wah Yuen, Ha Huang, Anthony Chan, Wu Ma, Chau Sang Lau, Wan-Si Wong, Pak-Kwong Ho, Kai-Man Tin, Mo Yuen, Wellson Chin, Yun-Chiang Peng, Wing-Cheung Cheung, Ming-Wai Chan, Wing-Tat Woo",Ricky Lau,Melody Bank,"Ricky Lau, Cheuk-Hon Szeto, Barry Wong",96.0
DarkWolf,2003.0,video movie,Horror,2.7,1662.0,United States,English,"Samaire Armstrong, Ryan Alosio, Andrea Bogart, Jaime Bergman, Alexis Cruz, Aaron Van Wagner, Sasha Craig, Kane Hodder, Beau Clark, Steven Williams, Tippi Hedren, Monica Lee, Rick McCallum, Vince Lozano, ""Alex DLerma"", Marilyn Miller, Louis Horowitz, Katie Lohmann, John Eric Brown, Sarah Helena Coombs, Bruna Rubio, Meghann Scully",Richard Friedman,Geoff Levin,"Geoffrey Alan Holliday, Chuck Scholl, Geoffrey Alan Holliday",94.0
Arachnid,2001.0,movie,Action,3.9,2853.0,"Spain, United States, Mexico","Spanish, English","Chris Potter, Alex Reid, José Sancho, Neus Asensi, Ravil Isyanov, Luis Lorenzo Crespo, Rocqueford Allen, Jesús Cabrero, Robert Vicencio, Héctor Chiquín, Conejo Wilson, Fausto Gualsaqui, Gavin Sims",Jack Sholder,Francesc Gener,Mark Sevi,95.0
The Cat and the Canary,1978.0,movie,Comedy,5.6,1382.0,United Kingdom,English,"Honor Blackman, Michael Callan, Edward Fox, Wendy Hiller, Olivia Hussey, Beatrix Lehmann, Carol Lynley, Daniel Massey, Peter McEnery, Wilfrid Hyde-White",Radley Metzger,Steven Cagan,"Radley Metzger, John Willard",98.0
Goddess of Mercy,2003.0,movie,Action,6.4,482.0,"Hong Kong, China",Mandarin,"Wei Zhao, Nicholas Tse, Yunlong Liu, Jianbin Chen, Haiying Sun, Yanjun Bi, Abao Chen, Yangyang Dong, Qiang Fu, Zhilan Gao, Jiantao Hong, Guanghou Liu, Zhu Lun, Li Niu, Gejie Renboqie, Jiatong Su, Jinglin Tang",Ann Hui,Lin Zhao,"Ivy Ho, Hai Yan, Hai Yan",110.0
The Tricky Master,1999.0,movie,Action,5.9,1534.0,Hong Kong,"Cantonese, English, Japanese","Stephen Chow, Nick Cheung, Sandra Kwan Yue Ng, Bing-Chuen Cheung, Tat-Ming Cheung, William Wai-Lun Duen, Suki Kwan, Siu-Kei Lee, Sammuel Leung, Kelly Lin, Ken Lo, Tin-Bo Tam, Kan-Wing Tsang, Jing Wong, Bobby Yip, King-Tan Yuen",Jing Wong,Lincoln Lo,Jing Wong,91.0
Get Out Your Handkerchiefs,1978.0,movie,Comedy,6.9,3746.0,"France, Belgium",French,"Gérard Depardieu, Patrick Dewaere, Carole Laure, Michel Serrault, Eléonore Hirt, Jean Rougerie, Sylvie Joly, Riton Liebman, Liliane Rovère, Michel Beaune, Roger Riffard, André Thorent, André Lacombe, David Gabison, Gilberte Géniat, Jean Perin, Bertrand De Hautefort, Philippe Brigaud",Bertrand Blier,Georges Delerue,Bertrand Blier,108.0
Sleepover Nightmare,2005.0,video movie,Horror,3.6,299.0,Canada,English,"Hayley Sales, Chad Rook, Kristine Cofsky, Richard Olak, Ward McMahon, Will Millar, Ace Hicks, Ashleigh Harrington, Jonas Shandel, Benjamin R. Hanson, Graham Wright, Jolene White, Nicholas Buchart, Rick Alexander, Craig Webb, Mike Moroz, Michael Antonakos, Raheem Hiscock, James Mowat, Stephanie Cleough, Peter Limberis, Jessica Nicoline, Drew Coleman, Leah Edwards, Kristin Fee, Mindi Howatt, Sean McKenna, Claire Millar, Ian Evans, Ken Parker, Claudine Evans, Mike Evans, Michael Morgan, Paul Rawson",Boon Collins,Ross Vannelli,Boon Collins,81.0
Gentlemen of Fortune,1971.0,movie,Comedy,8.5,11015.0,Soviet Union,Russian,"Evgeniy Leonov, Georgiy Vitsin, Saveliy Kramarov, Radner Muratov, Erast Garin, Natalya Fateeva, Nikolay Olyalin, Anatoliy Papanov, Pavel Shpringfeld, Lyubov Sokolova, Oleg Vidov, Aleksey Vanin, Natalya Vorobyova, Zoya Vasilkova, Galina Mikeladze, Roman Filippov, Vladimir Protasenko, Vladimir Van-Zo-Li, Anatoli Yabbarov, Yekaterina Mazurova, Vyacheslav Gostinsky, Aleksandr Lebedev, L. Lyubomudrova, Aleksandr Lukyanov, Olga Seraya, Svetlana Starikova",Aleksandr Seryy,Gennadiy Gladkov,"Georgiy Daneliya, Viktoriya Tokareva",88.0
One Last Dance,2003.0,movie,Drama,5.5,1491.0,Canada,English,"Patrick Swayze, Lisa Niemi, George De La Pena, Matthew Walker, Stefan Wenta, Timothy Webber, Marie Stillin, Aundra Ford, Daniel Heifetz, Elena Heifetz, Muriel Hogue, Nancy Jane Drake, Thom Allison, Rasta Thomas, Desmond Richardson, Kathryn Bradney, Tai Jiminez, Bambi Swayze, Jamie Bishton, Stephanie Slater, Heather Thompson, Chris Sigurdson, Dwight Rhoden, Amanda Kostyk, Yosuke Mino, CindyMarie Small, Cliff Sumter",Lisa Niemi,Stacy Widelitz,"Kevin Bernhardt, Lisa Niemi",101.0
Richard Pryor: Live on the Sunset Strip,1982.0,movie,Comedy,7.7,4040.0,United States,English,"Richard Pryor, Gene Cross, Julie Hampton, Jesse Jackson",Joe Layton,Harry Betts,"Paul Mooney, Richard Pryor",82.0
The Chorus,2004.0,movie,Comedy,7.9,59473.0,"France, Switzerland, Germany",French,"Gérard Jugnot, François Berléand, Kad Merad, Jean-Paul Bonnaire, Marie Bunel, Jean-Baptiste Maunier, Maxence Perrin, Grégory Gatignol, Thomas Blumenthal, Cyril Bernicot, Simon Fargeot, Théodule Carré-Cassaigne, Philippe du Janerand, Carole Weiss, Erick Desmarestz, Paul Chariéras, Armen Godel, Monique Ditisheim, Steve Gadler, Fabrice Dubusset, Marielle Coubaillon, Violette Barratier, Lena Chalvon, Colette Dupanloup, Didier Flamand, Jacques Perrin, Mathieu Basset, Loïc Bernicöt, Christophe Borie, Clément Bonnemoy, Dimitri Brand, Aurélien Bravard, Benjamin Charles, Niels Dalbignat, Gaetan Delaire, Louis Deval, Jordan Donatella, Quentin Donatella, Jérémy Duarte, Rémi Dubien, Aurélien Dussol, Patrice Dubrouillet, Jérémy Eberle, Mickaël Fournier, Benoît Fritisse, Nicolas Gomme, Florian Gontard, Bogdan Illouz, Giacomo Kahn, Marc-Antoine Madeyre, Kevin Monteiro, Denis Papon, Vincent Riqueur, Alexandre Resende, Anthony Ryat, Quentin Alibert, Rodrigo Avitt, Baptiste Beaumet, Yanis Benhamana, Vincent Reviron, Eloi Buisson, Jessy Chalmeton, Arthus Chambon, Antonin Delahaies, Alexandre Dosjoub, Mathieu Durif, Kevin Eytier, Gaël Fayet, Loïc Françon, Sylvain Fustier, Philippe Gaumme, Jordy Lapatrie, Gary Lemaouche, Thomas Levert, Jean-Baptiste Malaqui, ""Samuel LHonnen"", Titouan Martin, Adrien Pinet, Pierre-Alban Vernet, Kevin Remont, Nicolas Pouyad, Maxime Brilland-Guijarro, Michel Caccia",Christophe Barratier,Bruno Coulais,"Georges Chaperot, René Wheeler, René Wheeler",97.0
Regular Guys,1996.0,movie,Comedy,6.8,1433.0,Germany,"German, Russian, Italian","Christoph M. Ohrt, Carin C. Tietze, Tim Bergmann, Oliver Stokowski, Rudolf Kowalski, Dieter Brandecker, Daniela Ziegler, Ina Weisse, Andreas Pietschmann, Heinz-Werner Kraehkamp, Edgar M. Böhlke, Antonio Putignano, Martin Ankermann, Karina Marmann, Philipp Seiser, Jan Reichert, Luka Zigic, Siegfried Herold, Martin Fuchs, Manuela Riva, ""Camillo DAncona"", Pietro Bertino, Hans Freidhof, Ralf Albert, Christoph Boland, Momme Mommsen, Abou Lagraa, Anthony Arndt",Rolf Silber,Peter W. Schmitt,"Rolf Silber, Rudolf Bergmann",102.0
X2: X-Men United,2003.0,movie,Action,7.4,527257.0,"United States, Canada","English, German, Italian, Spanish","Patrick Stewart, Hugh Jackman, Ian McKellen, Halle Berry, Famke Janssen, James Marsden, Anna Paquin, Rebecca Romijn, Brian Cox, Alan Cumming, Bruce Davison, Aaron Stanford, Shawn Ashmore, Kelly Hu, Katie Stuart, Kea Wong, Cotter Smith, Chiara Zanni, Jackie A. Greenbank, Michael Soltis, Michael David Simms, David Fabrizio, Roger Cross, Richard Bradshaw, Bryce Hodgson, Glen Curtis, Greg Rikaart, Shauna Kain, Ty Olsson, Alfonso Quijada, Rene Quijada, Brad Loree, Sheri G. Feldman, Connor Widdows, Daniel Cudmore, Peter Wingfield, Charles Siegel, Steve Bacic, Michael Reid MacKay, James Kirk, Jill Teed, Alf Humphreys, Michasha Armstrong, Robert Hayley, Mark Lukyn, Kendall Cross, Keely Purvis, Dylan Kussman, Jason Whitmer, Aaron Pearl, Aaron Douglas, Colin Lawrence, Richard C. Burton, Michael Joycelyn, Nolan Gerard Funk, Devin Douglas Drewitz, Jermaine Lopez, Sideah Alladice, Kurt Max Runte, Benjamin Glenday, Lori Stewart, Ted Friend, Mi-Jung Lee, Marrett Green, Jill Krop, Brian Peck, Layke Anderson, Mike Dopud, Emily Hirst, David Kaye, Blake Mawson, Darren McGuire, Mike Mitchell, Jade Ramsey, Nikita Ramsey, Newton Thomas Sigel, Bryan Singer, Valerie Tian, Shaina Tianne Unger",Bryan Singer,John Ottman,"Zak Penn, David Hayter, Bryan Singer",134.0
Chasing Freedom,2004.0,tv movie,Drama,6.5,398.0,"Canada, United States",English,"Juliette Lewis, Layla Alizada, Bruce Gray, Michael David Simms, Yanna McIntosh, Veena Sood, Brian Markinson, Ali Jhon, Aziza Sindhu, Wajma Soroor, Gail Hanrahan, Daniel Libman, Andrew Misle, Stacey Zurburg, Rochelle Maitripala, Shafiqullah Mojaddedi, Alison Sealy-Smith, Nkechi Odina, Bob Chomyn, Chris Kelly, Farid Hussaini, Rohullah Hussain Zada, Moe Allahdadi, Lori Ravensborg, Rick Gaudio, Lisa Christie, Patti Kim, Chris Enright, Qais Amer, Abdul Aziz Hashtee, Hamidullah Mehri, Homayoon Hussaini, Crystal Balint, Ghazali Amer, Syed Mahmoodi, Khan Soroor, Rita Bozi, Peter Lamarr, Karen Gartner, ""Susan ORourke"", Michael Francis, Subah Sadiq, Dadhullah Hussain Zada, Eddie Eagle, Philip Akin, Mark Ghanimé",Don McBrearty,Jonathan Goldsmith,Barbara Samuels,88.0
Stepping Razor: Red X,1992.0,movie,Documentary,7.7,140.0,Canada,English,"""Edward Bigs Allen"", ""Lloyd Rocky Allen"", Andrea Davis, Roy Garrick, Ron Headley, Gary Isaacs, Jahbi, Junior, Kenile, Rab Leon, Lawrence Mabcoe, Sister Margaret, Sandra Okiror, Sister P., ""Bruce Preacher Robinson"", Rabta Steve, Beresford Thompson, Thunder, Peter Tosh",Nicholas Campbell,Peter Tosh,Nicholas Campbell,103.0
Ruby's Bucket of Blood,2001.0,tv movie,Drama,6.0,317.0,United States,English,"Angela Bassett, Kevin Anderson, Brian Stokes Mitchell, Jurnee Smollett, Glenn Plummer, Angelica Page, Arnold Pinnock, Martin Villafana, Ruby Webb, Rudy Webb, Cabral Richards, David Ferry, Mailka Oakley, Karen Andrew, Anna Ferguson, Shamakah Ali, Ted Yearwood, Christopher Rouse, K.C. Collins, Kim Roberts, Camille Lawrence, Delores Etienne, Catherine Fitch, Barry Stillwell, Hayden Baptiste, Serena Lee, Troy P. Liddell, Ingrid Abbott, Eva Beckett, Barnita Domenico-Runnings, Kiera Bangster, Sherisse Springer, Jerome Bobb, Uriel Fisher, Robert France, Stanley Taylor, James Washington",Peter Werner,Mason Daring,"Julie Hébert, Julie Hébert",95.0
Venus Boyz,2002.0,movie,Documentary,6.2,418.0,"Switzerland, United States, Germany","English, German","Diane Torr, Dréd Gerestant, Del La Grace Volcano, Queen Bee Luscious, Mistress Formika, Philly Abe, Dee Finley, Mo Fischer, Judith Halberstam, Bridge Markland, Simo Maronati, Shelly Mars, Martina Meijer Torr, Marcel Meijer, A. Hans Scheirl, Svar Simpson, Storme Webber",Gabriel Baur,David Shiller,Gabriel Baur,102.0
Unconstitutional,2004.0,video movie,Documentary,7.8,368.0,United States,English,"Aquil Abdullah, John Ashcroft, Bob Barr, Azmat Begg, Tony Blair, A.J. Brown, George W. Bush, Vincent Cannistraro, Dick Cheney, Darren Christensen, David Cole, Ryan Coonerty, Kathy Culliton, Peter A. DeFazio, Hanan Hamoui, Mohammed Hamoui, Nadin Hamoui, Rham Hamoui, Safouh Hamoui, Sam Hamoui, Jamie Hanes, Douglas Heller, Ken Kurtis, David Lindorff, Dave Meserve, Geoffrey Miller, Michael Mori, Robert Mueller, Laura Murphy, Donna Newman, ""Andrew OConnor"", Barbara Olshansky, José Padilla, Tom Ridge, Anthony Romero, Colleen Rowley, Donald Rumsfeld, Chuck Schumer, James Sensenbrenner, Jayashri Srikantian, Larry Thompson, Anne Turner, Mara Verheyden-Hilliard, Vivian White, Thomas B. Wilner, Paul Wolfowitz",Nonny de la Peña,Michael Brook,Nonny de la Peña,66.0
The Yinyang Master,2021.0,movie,Action,6.5,2164.0,China,Chinese,"Kun Chen, Xun Zhou, William Wai-Ting Chan, Chuxiao Qu, Likun Wang, Shen Yue, Cici Wang, Yueyi Wang, Yongsheng He, Nicole Fong, Victoria Grace, Ji-young Yoo, Zifeng Zhang",Weiran Li,Shigeru Umebayashi,"Chia-Lu Chang, Even Jian",113.0
Querelle,1982.0,movie,Drama,6.7,6270.0,"West Germany, France",English,"Brad Davis, Franco Nero, Jeanne Moreau, Laurent Malet, Hanno Pöschl, Günther Kaufmann, Burkhard Driest, Roger Fritz, Dieter Schidor, Natja Brunckhorst, Robert van Ackeren, Werner Asam, Isolde Barth, Axel Bauer, Neil Bell, Gilles Gavois, Wolf Gremm, Karl-Heinz von Hassel, Y Sa Lo, Michael McLernon, Frank Ripploh, Karl Scheydt, Vitus Zeplichal, Isa Jank",Rainer Werner Fassbinder,Peer Raben,"Jean Genet, Rainer Werner Fassbinder, Burkhard Driest",108.0
The Neon Bible,1995.0,movie,Drama,6.1,831.0,"United Kingdom, Spain",English,"Jacob Tierney, Drake Bell, Gena Rowlands, Diana Scarwid, Denis Leary, Bob Hannah, Aaron Frisch, Charles Franzen, Leo Burmester, Sherry Velvet, Stephanie Astalos-Jones, Ian Shearer, Joan Glover, Jill Jane Clements, Tom Turbiville, Sharon Blackwood, Peter McRobbie, Ken Fight, Dana Seltzer, Virgil Graham Hopkins, Ducan Stewart, J.T. Alessi, Duncan Stewart, Frances Conroy, Marcus Batton, Barry Hopkins",Terence Davies,Robert Lockhart,"Terence Davies, John Kennedy Toole",91.0
Space Odyssey: Voyage to the Planets,2004.0,tv movie,Documentary,7.7,978.0,United Kingdom,English,"David Suchet, Martin McDougall, Joanne McQuinn, Rad Lazar, Mark Dexter, Michelle Joseph, Mark Tandy, Hélène Mahieu, Lourdes Faberes, John Schwab, Colin Stinton, Rodolfo Jiménez, Maurice Nathan Weert",Joe Ahearne,Don Davis,Joe Ahearne,100.0
Blood Will Out,1999.0,episode,Crime,7.4,794.0,United Kingdom,English,"John Nettles, Daniel Casey, Jane Wymark, Laura Howard, Barry Jackson, Kevin McNally, John Duttine, Elizabeth Garvie, Paul Jesson, Tricia George, Honeysuckle Weeks, Rowena Cooper, Phyllida Law, Ian Thompson, Daniel Betts, Jerome Willis, Nick Moran, Elizabeth Thomas, David Allister, Francis Lee, Brett Reylander",Moira Armstrong,Jim Parker,"Douglas Watkinson, Caroline Graham",100.0
"Henry: Portrait of a Serial Killer, Part 2",1996.0,movie,Crime,4.9,1001.0,United States,English,"Penelope Milford, Neil Giuntoli, Mike Houlihan, James Otis, Rich Baker, Rich Komenich, Kate Walsh, Carri Levinson, Daniel Allar, Bill Pirman, Larry Calicchio, Sam Saletta, Don Rimgale, Kathleen Perkins, Miles Stroth, Marlon Newson, Marco Santucci, Rich Wilkie, Kevin Hurley, Kevin Sorensen, Leslie Zang, Kam Heskin, Richard Henzel, Fran Smith, Jim Cantafio",Chuck Parello,Robert McNaughton,Chuck Parello,84.0
Marooned in Iraq,2002.0,movie,Drama,7.4,1448.0,Iran,"Persian, Kurdish","Shahab Ebrahimi, Faegh Mohamadi, Allah-Morad Rashtian, Rojan Hosseini, Saeed Mohammadi, Iran Ghobadi, Mariam Pouyani, Hossein Rashid-Ghamat, ""Fathollah Saedi"", Bahram Sarbazi",Bahman Ghobadi,Arsalan Kamkar,Bahman Ghobadi,100.0
Winnie the Pooh: Springtime with Roo,2003.0,video movie,Animation,6.5,2068.0,United States,"English, Arabic","Jim Cummings, Ken Sansom, Jimmy Bennett, David Ogden Stiers, Kath Soucie, John Fiedler, Peter Cullen","Saul Blinkoff, Elliot M. Bour",Mark Watters,"A.A. Milne, Tom Rogers",65.0
Neon Genesis Evangelion: The End of Evangelion,1997.0,movie,Animation,8.1,46163.0,Japan,Japanese,"Megumi Ogata, Megumi Hayashibara, Yûko Miyamura, Kotono Mitsuishi, Yuriko Yamaguchi, Fumihiko Tachiki, Akira Ishida, Motomu Kiyokawa, Mugihito, Takehito Koyasu, Hiro Yûki, Miki Nagasawa, Spike Spencer, Amanda Winn Lee, Tiffany Grant, Allison Keith, Sue Ulu, Tristan MacAvery, Aaron Krohn, Amy Seeley, Laura Chapman, Brett Weaver, Kurt Stoll, Kimberly Yates, Tom Booker, Keith Burgess, Riley Barber, Jason Lee, Taliesin Jaffe, Michael Ross, Dave Wittenberg, Maria Kawamura, Ryan Bartley, Christine Marie Cabanos, Clifford Chapin, Ray Chase, Greg Chun, Daniel Mk Cohen, Henry Dittman, Lucien Dodge, D.C. Douglas, Thomas Greene, Billy Kametz, JP Karliak, Carrie Keranen, Erica Lindbeck, Stephanie McKeon, Casey Mongillo, Ryan Paregien, Traci Shannon","Hideaki Anno, Kazuya Tsurumaki",Shiro Sagisu,Hideaki Anno,87.0
Strangler's Wood,1999.0,episode,Crime,7.9,899.0,United Kingdom,English,"John Nettles, Daniel Casey, Jane Wymark, Laura Howard, Peter Eyre, Kathleen Byron, Frank Windsor, Anne Stallybrass, Trudie Styler, Jeremy Clyde, Phyllis Logan, Nicholas Farrell, Tom Eilenberg, Debbie Chazen, Betty Romani, Toby Jones, Cyril Shaps, Katy Brittain, Neil Conrich, Frankie Carson, Anthony Howes, Elizabeth Tyrrell, Tara Hugo, George Lane Cooper, Rebecca Charles",Jeremy Silberston,Jim Parker,"Anthony Horowitz, Caroline Graham",101.0
The Hunchback of Notre Dame 2: The Secret of the Bell,2002.0,video movie,Animation,4.7,6544.0,"United States, Japan",English,"Jason Alexander, Jennifer Love Hewitt, Tom Hulce, Paul Kandel, Charles Kimbrough, Kevin Kline, Michael McKean, Demi Moore, Haley Joel Osment, Jane Withers, Jim Cummings, Joe Lala, Frank Welker, April Winchell, Newell Alexander, Nicholas Guest, Philip Benichou, Bridget Hoffman, Mitch Carter, Frederika Kesten, David Cowgill, Luisa Leschin, Wendy Cutler, Edie Mirman, Ike Eisenmann, Philece Sampler, Tara Strong",Bradley Raymond,Carl Johnson,"Jule Selbo, Flip Kobler, Cindy Marcus",68.0
