Titulo,Anio,Tipo,Genero,Rating,Puntuacion,Pais_Origen,Idioma,Elenco,Director,Creador,Escritor,Duracion(min)
FernGully 2: The Magical Rescue,1998.0,video movie,Animation,4.6,1484.0,United States,English,"James S. Baker, Matt K. Miller, Erik Bergmann, Connie Champagne, Holly Conner, Laura Erlich, Harry Joseph, Gary Martin, Digory Oaks, Michael Scott Ryan, David Rasner, Phil Robinson, J.F. Rockstar, K.T. Vogt, Jack Angel","Phil Robinson, David Marshall",Nerida Tyson-Chew,"Richard Tulloch, Diana Young, Chris Fink",75.0
Zatoichi's Conspiracy,1973.0,movie,Action,7.1,911.0,Japan,Japanese,"Shintarô Katsu, Yukiyo Toake, Eiji Okada, Kei Satô, Yoshio Tsuchiya, Shirô Kishibe, Rie Yokoyama, Tatsuo Endô, Takashi Shimura, Naoyuki Asahina, Tamotsu Fujiharu, Takaji Fukui, Takamori Gen, Yûji Hamada, Kuniko Ishii, Hiroshi Kanda, Masayoshi Kikuno, Goro Kumon, Nobue Matsuoka, Yuzo Miyashita, Tokio Oki, Osamu Sakai, Shoroku Shimada, Teiko Takeda, Yûsaku Terashima, Saburô Ukita, Mitsuo Watanabe, Takeshi Yabuuchi, Satoko Yamamura, Yûko Ôta",Kimiyoshi Yasuda,Akira Ifukube,"Yoshi Hattori, Kan Shimozawa",88.0
TerrorVision,1986.0,movie,Comedy,5.7,6778.0,"United States, Italy",English,"Diane Franklin, Gerrit Graham, Mary Woronov, Chad Allen, Jon Gries, Bert Remsen, Alejandro Rey, Randi Brooks, Jennifer Richards, Sonny Carl Davis, Ian Patrick Williams, William Paulson, John Leamer",Ted Nicolaou,Richard Band,Ted Nicolaou,85.0
Silent Service,2016.0,movie,Short,9.1,11.0,United States,English,"Kirk H. Andersen, Mary Avgerinos, Daniel Martin Berkey, Jeremy Bishop, Orease Bowers, Gabriel Brandis, Candace Brianna, Shelley Brietling, Ray Buckley, Kevin Chriswell, Anthony Esposito, Michele Everwine, Brian Fecteau, Joseph D Fisher, Michael Gaudioso, Ronnie Giles, Greg Harwell, Robert Harwell, Rick Haymes, Edward S. Hitchins IV, Edward Stanley Hitchins, Steven Komito, Gina Lerario, Mark Mairone, Larry Marr, Pierce Marr, Deirdre McCullagh, Charles McDermott, Larry Mihlon, Rick R. Miller, Jeff Moffitt, Ryan Moffitt, Ron Morrison, Justin Nyce, Laurence Penn, Natalie Peri, Christy Phillips, Danny Plaza, Christan Ramos, Irene Rodriguez, Rich Sab, Omarr Salgado, Rachel Saybolt, Mike Sgroi, Dave Shaver, Dave Shaver, Steve Shelly, Maggie Shirk, Mike Sutton, Karen Vana, Frank Williams, Greg Williams, Sandi Woodhams, Shawn Woodhams, Maximilian Zammit",Sy Cody White,Chris Lott,"Sean Kling, Mike Sgroi",97.0
The Spitfire Grill,1996.0,movie,Drama,7.0,6850.0,United States,English,"Alison Elliott, Ellen Burstyn, Marcia Gay Harden, Will Patton, Kieran Mulroney, Gailard Sartain, John M. Jackson, Louise De Cormier, Ida Griesemer, Lincoln Grow, Emerson Grow, Sam Lloyd Sr., Lisa Louise Langford, Forrest Murray, Patty Smith, Faith Catlin, Janet St. Onge, Jim Hogue, Stacy Becker, Cliff Levering, Dennis Mientka, Stuart Jackson, Monica Callan, Richard Addis, Patti Tippo, Ed Cook, Linda Cook, Malcolm Groome, Harry Johnson, Gracie Moore, Calvin Longe, R.W. Martin",Lee David Zlotoff,James Horner,Lee David Zlotoff,117.0
The Bonesetter,2003.0,video movie,Horror,1.6,210.0,Canada,English,"Brett Kelly, Sherry Thurig, Anne-Marie Frigon, Mark Courneyea, Tara Rheaume, Josh Grace, Jodi Pittman, Beverley Brooks, Jody Haucke, Kyla Smith, Shann McGrail, Amanda Boniface, Steve Duncan, Rebecca Westwell, Lucia McRae, Rebeka Hall, Lloyd Kaufman, Lydia Klein, Jennifer Forbes, Hayden Emery, Arisa Cox, Wayne Westwell, Nix Cameron, Kody Hall, Ray Besharah, Ashley Elliott, Stephanie Lavergne, Michelle Mulligan, Sonia Myers, Thea Nikolic, Jodi Larratt, Mark Cayer",Brett Kelly,Sylvain Lavigne,Brett Kelly,72.0
Carandiru,2003.0,movie,Drama,7.6,18930.0,"Brazil, Argentina, Italy",Portuguese,"Luiz Carlos Vasconcelos, Milton Gonçalves, Ivan de Almeida, Ailton Graça, Maria Luísa Mendonça, Aida Leiner, Rodrigo Santoro, Gero Camilo, Lázaro Ramos, Caio Blat, Wagner Moura, Julia Ianina, Sabrina Greve, Floriano Peixoto, Ricardo Blat, Vanessa Gerbelli, Leona Cavalli, Milhem Cortaz, Dionísio Neto, Antônio Grassi, Enrique Diaz, Robson Nunes, André Ceccato, Bukassa Kabengele, Sabotage, Rita Cadillac, Adrenalina, André Firmino, Andrézinho Saracura, Arehy Júnior, Beto Vai Vai, Carol Brasil, Cláudia Wonder, Clemente Viscaíno, David Kawai, Eduardo Mancini, Fernanda, Gal Quaresma, Gustavo Trestini, Ildo Silva, Igor Moreira, Jorge Luiz, Laiza, Luiz Antonio Alves Jr., Marcelo Escorel, Marcos Suchara, Marquinhos Jaca, Nando Bolognesi, Nicolas Trevijano, Oscar Magrini, ""Rappin Hood"", Riba Carlovich, Rubens Ferreira, Serjão Loroza, Tchuck, Veronica, Zno Oliveira, Airton Renô, André Nascimento, Ângela Correa, Barão Hc, Celso Santos, Cláudio Albuquerque, Clerouak, Delurdes Moraes, Emboscada Edvaldo, Flavio Rocha, Gerson Marcch, Hébano, Israel Monteiro, Johnnye Domingos, José de Paiva, Luciano Quirino, Luiz Claudio Araujo, Marcelo Palmares, Marcoserra, Kiko Marques, Nego Hc, Nill Marcondes, Pacheco, Régis Santos, Ricardo Luís da Silva, Salete Campari, Silvestre Mouro, Valeria, Vera Mancini, Almir Barros, Amanda, Angelo Brandini, Barreto Leopoldo, Caio Cesar, Celso Sim, Claudio Ferreira, Coke, Drago, Evandro Dantas, Francisco Calderon, Guido Campos Correia, Heraldo Firmino, Ivan Antônio, Jonas Sertório, Kaio Pezzutti, ""Luis DAngelo"", Magnata, Marcelona, Mardon Franco, Max Um, Neon Danuta, Nivaldo Todaro, Paulo Ribeiro, Rejane Arruda, Roberto Audio, Sandro Rodrigues, Sílvio Roberto, Val Pires, Victor Bianchini, Allan Santos, Andressa, Antônio de Andrade, Bernardete Alves, Cida Rodrigues, Cleide Eunice Queiroz, Dani Hu, Edson Rocha, Fabio Ock, Franklin Albuquerque, Guilherme Nicásio, Hudson Galtieri, Ivan Capúa, Jorge Luiz Leão, Kiko Dinucci, Luis Miranda, Luiz Antonio Alves, Marcelo Bombinha, Marcos Azevedo, Mikimba, Ney Mesquita, Orides Vicente, Pedro Vieira, Renata, Robson Luiz, Sapo, Taroba, Walter Breda, Maria Gal, Daniel Torres, João Angello Vieira, Gabriel Braga Nunes, Carlos Miola, Dráuzio Varella",Hector Babenco,André Abujamra,"Hector Babenco, Fernando Bonassi, Victor Navas",145.0
DragonHeart,1996.0,movie,Action,6.5,94804.0,United States,English,"Dennis Quaid, David Thewlis, Pete Postlethwaite, Dina Meyer, Jason Isaacs, Brian Thompson, Lee Oakes, Wolf Christian, ""Terry ONeill"", Peter Hric, Eva Vejmelková, Milan Bahúl, Sandra Kovacicova, Kyle Cohen, Thom Baker, Julie Christie, Sean Connery, John Gielgud, Buddy Quaid",Rob Cohen,Randy Edelman,"Patrick Read Johnson, Charles Edward Pogue, Charles Edward Pogue",103.0
The Libertine,2004.0,movie,Biography,6.3,35678.0,"United Kingdom, Australia",English,"Johnny Depp, Paul Ritter, John Malkovich, Stanley Townsend, Francesca Annis, Rosamund Pike, Tom Hollander, Johnny Vegas, Richard Coyle, Tom Burke, Hugh Sachs, Rupert Friend, Kelly Reilly, Jack Davenport, Trudi Jackson, Samantha Morton, Clare Higgins, Freddie Jones, Robert Wilfort, Jake Curran, Paul Chahidi, Kevin Doyle, Morgan Walters, Niall Buggy, Peter Howell, T.P. McKenna, Maimie McCoy, Richard Cotton, Penny Layden, Olivia Higginbottom, Amy Darcy, Cara Horgan, Graham Hughes, Liam McKenna, Habib Nasib Nader, Laurence Spellman, Robert Sterne, Katie Beale, Anna Serena Bindra, Fleur Davidson, Natascha Falter, Hannah Gould, Alice Hutcheson, Harriette Quarrie, Susie Valerio, Louisa Bawden, Sacha Bennett, Amanda Girvan, Shane MacGowan, Davo McConville, Charlotte Amelia Miles, Monroe Robertson",Laurence Dunmore,Michael Nyman,"Stephen Jeffreys, Stephen Jeffreys",114.0
Barbarian Queen,1985.0,movie,Adventure,4.1,2370.0,"United States, Argentina",English,"Lana Clarkson, Katt Shea, Frank Zagarino, Dawn Dunlap, Susana Traverso, Victor Bo, Armando Capo, Andrea Barbieri, Tony Middleton, Andrea Scriven, Roberto Catarineu, Matilde Mur, Eddie Pequenino, Patrick Duggan, Lucy Tiller, Ivan Grey, Theodore McNabney, Ricardo Jordán, John Head, Daniel Seville, Eva Adanaylo, Enrique Fynn Sastre, Grace Castle, Luis Alday, Norman Friedman, Alexander Essex, Daniel Ripari, Alfredo Alesandrini, Arturo Noal, Marcos Woinsky",Héctor Olivera,"James Horner, Christopher Young",Howard R. Cohen,74.0
